Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,3191021589,1680641241,--,--
No,Ch,Hit,Time_H,Time_L,Energy
0,0,0x110121,0,3555080,563
1,1,0x110222,0,1643176,2857
2,0,0x110121,0,4123304,2680
3,1,0x110222,0,2707656,487
4,0,0x110121,0,4227048,1960
5,1,0x110222,0,3362376,1124
6,0,0x110121,0,11673128,3184
7,1,0x110222,0,11673224,2332
8,0,0x110121,0,13614216,682
9,1,0x110222,0,12164168,341
10,1,0x110222,0,12245192,1284
11,1,0x110222,0,13163752,1026
12,0,0x110121,0,15000456,477
13,0,0x110121,0,15283752,2357
14,1,0x110222,0,15283848,1873
15,0,0x110121,0,15759496,2873
16,0,0x110121,0,16275144,2101
17,1,0x110222,0,16275208,3242
18,1,0x110222,0,16670792,1087
19,1,0x110222,0,18218408,2476
20,0,0x110121,0,20459272,2866
21,0,0x110121,0,21057416,3037
22,0,0x110121,0,21089896,2191
23,0,0x110121,0,23049224,1200
24,1,0x110222,0,23609512,2288
25,1,0x110222,0,23935848,667
26,0,0x110121,0,25037416,496
27,1,0x110222,0,26733416,976
28,0,0x110121,0,27569768,1459
29,1,0x110222,0,30331080,439
30,0,0x110121,0,30656360,249
31,1,0x110222,0,31312904,534
32,1,0x110222,0,33496104,746
33,1,0x110222,0,34834248,2380
34,0,0x110121,0,34986056,258
35,1,0x110222,0,36193224,1156
36,1,0x110222,0,36505960,473
37,1,0x110222,0,38455848,322
38,0,0x110121,0,40455624,1217
39,0,0x110121,0,41289352,1864
40,1,0x110222,0,41699336,3112
41,0,0x110121,0,41901608,616
42,1,0x110222,0,41960872,518
43,0,0x110121,0,43423528,1793
44,1,0x110222,0,43575208,2686
45,1,0x110222,0,44257224,366
46,1,0x110222,0,44644872,2429
47,1,0x110222,0,44965288,1362
48,0,0x110121,0,45135976,3177
49,1,0x110222,0,47446408,2614
50,0,0x110121,0,48138280,1203
51,1,0x110222,0,48138344,1636
52,0,0x110121,0,48772168,2123
53,1,0x110222,0,49007752,414
54,1,0x110222,0,50609384,4077
55,1,0x110222,0,51601256,526
56,0,0x110121,0,54105992,1968
57,1,0x110222,0,54845512,2322
58,0,0x110121,0,55749736,3208
59,1,0x110222,0,56128584,2705
60,1,0x110222,0,56532104,408
61,0,0x110321,0,57308072,683
62,1,0x110222,0,57308104,4387
63,1,0x110222,0,57703208,1648
64,1,0x110222,0,59405416,4285
65,0,0x110121,0,59467848,2928
66,1,0x110222,0,60287752,1846
67,1,0x110222,0,61115784,1672
68,1,0x110222,0,61654248,666
69,1,0x110222,0,61870696,322
70,1,0x110222,0,62505928,2064
71,0,0x110321,0,64973768,322
72,1,0x110322,0,64973768,1859
73,0,0x110121,0,65330504,1694
74,0,0x110121,0,65547528,3247
75,1,0x110222,0,65547624,1486
76,1,0x110222,0,65929128,3126
77,1,0x110222,0,66834344,2394
78,0,0x110121,0,68644744,1745
79,1,0x110222,0,69128072,410
80,1,0x110222,0,69340744,2058
81,1,0x110222,0,69610408,663
82,1,0x110222,0,71060456,1262
83,1,0x110222,0,71815688,3369
84,1,0x110222,0,73241000,1837
85,1,0x110222,0,73265672,2583
86,0,0x110121,0,74876872,293
87,1,0x110222,0,75119144,6218
88,0,0x110121,0,75847624,1011
89,1,0x110222,0,78059336,1841
90,1,0x110222,0,78696520,361
91,1,0x110222,0,81142408,2413
92,1,0x110222,0,81250344,706
93,0,0x110121,0,84030920,1140
94,1,0x110222,0,84665928,1233
95,1,0x110222,0,84701288,440
96,0,0x110121,0,86670984,318
97,1,0x110222,0,89794120,489
98,1,0x110222,0,89818472,754
99,1,0x110222,0,90772424,2125
100,0,0x110121,0,91558984,774
101,1,0x110222,0,93586152,2200
102,0,0x110121,0,94436968,2791
103,0,0x110121,0,96740008,1136
104,1,0x110222,0,96987720,550
105,1,0x110222,0,98369768,1326
106,0,0x110121,0,99780488,368
107,1,0x110222,0,100547528,2340
108,1,0x110222,0,101686696,1233
109,1,0x110222,0,102871752,443
110,1,0x110222,0,103688776,1808
111,0,0x110121,0,104868488,2904
112,1,0x110222,0,105672680,841
113,1,0x110222,0,107817192,350
114,1,0x110222,0,109140008,1543
115,0,0x110121,0,110810056,1967
116,1,0x110222,0,113535944,1352
117,1,0x110222,0,115123560,1038
118,1,0x110222,0,116497384,945
119,0,0x110121,0,118190248,358
120,0,0x110121,0,119361640,1959
121,1,0x110222,0,119361704,1845
122,1,0x110222,0,120516808,294
123,1,0x110222,0,122523336,367
124,1,0x110222,0,122625640,1018
125,1,0x110222,0,123988328,438
126,0,0x110121,0,127519976,1672
127,0,0x110121,0,127706856,2255
128,1,0x110222,0,127818472,390
129,1,0x110222,0,131383400,2338
130,1,0x110222,0,131870664,2277
131,1,0x110222,0,132141928,1571
132,1,0x110222,0,132293448,1502
133,0,0x110321,0,138240904,564
134,1,0x110222,0,138240936,1860
135,1,0x110222,0,139978632,2330
136,1,0x110222,0,143290568,1681
137,1,0x110222,0,145805032,544
138,1,0x110222,0,145963272,2459
139,1,0x110222,0,148830600,1183
140,1,0x110222,0,151452968,1253
141,1,0x110222,0,151482536,291
142,1,0x110222,0,151744680,309
143,1,0x110222,0,154788104,2732
144,1,0x110222,0,156903592,2401
145,1,0x110222,0,156989160,410
146,1,0x110222,0,158020552,281
147,1,0x110222,0,159369640,2366
148,1,0x110222,0,161297160,1892
149,1,0x110222,0,161557320,1509
150,0,0x110121,0,162054536,631
151,0,0x110121,0,164421224,2754
152,0,0x110121,0,165113576,390
153,1,0x110222,0,165113608,2759
154,1,0x110222,0,165480104,1134
155,0,0x110121,0,166873064,1029
156,1,0x110222,0,167560008,3959
157,0,0x110121,0,167637448,838
158,1,0x110222,0,167637544,1018
159,1,0x110222,0,168382888,1324
160,1,0x110222,0,170470056,2650
